Event,Date,Day,Begin,End,Room,Type
Jazzercise,1/16/2019,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/16/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,1/18/2019,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/19/2019,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Sunday School,1/20/2019,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/20/2019,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Choir Practice,1/23/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Sunday School,1/27/2019,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/27/2019,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Choir Practice,1/30/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
West Circle Meeting,2/5/2019,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Choir Practice,2/6/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,2/13/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,2/20/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,2/27/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
West Circle Meeting,3/5/2019,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Choir Practice,3/6/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,3/13/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,3/20/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,3/27/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
West Circle Meeting,4/2/2019,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Choir Practice,4/3/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,4/10/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,4/17/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,4/24/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,5/1/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
West Circle Meeting,5/7/2019,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Choir Practice,5/8/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,5/15/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,5/22/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,5/29/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
West Circle Meeting,6/4/2019,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Choir Practice,6/5/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,6/12/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,6/19/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Choir Practice,6/26/2019,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
